repo,total_classes,cbo_mean,cbo_median,cbo_std,cbo_min,cbo_max,cbo_q1,cbo_q3,dit_mean,dit_median,dit_std,dit_min,dit_max,dit_q1,dit_q3,lcom_mean,lcom_median,lcom_std,lcom_min,lcom_max,lcom_q1,lcom_q3
tencentmusic/supersonic,1136,6.282,4.0,7.315,0,59,2.0,8.0,1.29,1.0,0.626,1,4,1.0,1.0,46.084,0.0,654.959,0,18103,0.0,4.0
yhaolpz/FloatWindow,44,3.773,2.0,4.136,0,15,1.0,6.0,1.273,1.0,0.544,1,3,1.0,1.0,9.727,1.0,27.382,0,166,0.0,3.0
hugeterry/CoordinatorTabLayout,17,5.294,3.0,5.565,1,21,2.0,5.0,1.412,1.0,0.507,1,2,1.0,2.0,9.412,0.0,32.755,0,136,0.0,3.0
codingapi/tx-lcn,222,4.955,4.0,4.037,0,19,2.0,7.0,1.212,1.0,0.628,1,4,1.0,1.0,6.338,0.0,43.438,0,595,0.0,1.0
Jacksgong/JKeyboardPanelSwitch,50,5.2,3.0,5.067,0,18,1.0,9.0,1.3,1.0,0.463,1,2,1.0,2.0,7.38,0.0,13.705,0,76,0.0,13.0
zendesk/maxwell,312,6.109,4.0,7.197,0,60,2.0,8.25,1.622,1.0,0.809,1,4,1.0,2.0,32.138,0.0,157.688,0,1485,0.0,6.0
bingoogolapple/BGABanner-Android,53,5.0,3.0,6.016,0,35,2.0,5.0,1.585,2.0,0.602,1,3,1.0,2.0,26.283,1.0,155.695,0,1136,0.0,7.0
freeok/so-novel,83,5.94,5.0,5.216,0,25,2.0,9.0,1.169,1.0,0.464,1,4,1.0,1.0,2.759,0.0,4.92,0,20,0.0,3.0
oddfar/campus-imaotai,218,6.339,5.0,5.741,0,27,2.0,9.0,1.413,1.0,1.17,1,10,1.0,1.0,20.376,1.0,78.43,0,946,0.0,6.0
alibaba/fastjson2,9496,2.644,2.0,4.362,0,159,1.0,3.0,1.185,1.0,0.966,1,66,1.0,1.0,283.845,0.0,20611.396,0,1997000,0.0,1.0
pedrovgs/AndroidWiFiADB,30,2.867,2.0,3.148,0,14,1.0,4.5,1.5,1.0,1.075,1,5,1.0,1.75,12.133,0.0,23.721,0,112,0.0,15.0
dinuscxj/LoadingDrawable,65,6.508,4.0,6.555,0,31,2.0,11.0,1.446,1.0,0.531,1,3,1.0,2.0,15.831,1.0,27.992,0,149,0.0,22.0
alibaba/Tangram-Android,574,5.26,3.0,7.162,0,50,1.0,6.0,1.678,1.0,1.144,1,6,1.0,2.0,23.211,0.0,121.158,0,1540,0.0,3.0
pqpo/SmartCropper,12,6.25,3.0,7.387,1,25,2.0,6.25,1.333,1.0,0.492,1,2,1.0,2.0,122.5,0.0,408.121,0,1418,0.0,4.0
DTStack/chunjun,1916,7.14,4.0,7.419,0,56,2.0,10.0,1.565,1.0,0.813,1,12,1.0,2.0,20.836,1.0,119.802,0,4075,0.0,9.0
Manabu-GT/ExpandableTextView,15,5.133,4.0,6.034,0,24,1.0,6.0,1.733,1.0,1.1,1,5,1.0,2.0,11.8,0.0,39.398,0,154,0.0,4.0
qunarcorp/bistoury,1361,4.838,3.0,5.845,0,55,1.0,7.0,1.279,1.0,0.724,1,9,1.0,1.0,21.416,1.0,119.189,0,2079,0.0,6.0
code4craft/tiny-spring,106,3.085,2.0,3.225,0,12,1.0,5.0,1.151,1.0,0.409,1,3,1.0,1.0,2.368,0.0,6.314,0,26,0.0,1.0
rubensousa/ViewPagerCards,9,5.333,6.0,4.848,0,15,1.0,8.0,1.556,2.0,0.527,1,2,1.0,2.0,2.222,0.0,3.701,0,9,0.0,3.0
oblac/jodd,728,3.995,3.0,4.484,0,53,2.0,5.0,1.441,1.0,1.333,1,24,1.0,2.0,12.949,0.0,59.229,0,907,0.0,6.0
luckybilly/CC,120,4.967,4.0,4.738,0,27,2.0,7.0,1.258,1.0,0.558,1,5,1.0,1.0,16.317,0.0,129.759,0,1413,0.0,1.0
oldmanpushcart/greys-anatomy,240,4.067,3.0,4.319,0,29,1.0,5.0,1.154,1.0,0.546,1,4,1.0,1.0,6.771,0.0,21.887,0,177,0.0,3.0
jMonkeyEngine/jmonkeyengine,3194,6.692,4.0,8.032,0,89,2.0,9.0,1.62,1.0,1.088,1,10,1.0,2.0,53.886,0.0,384.05,0,8998,0.0,6.0
xcltapestry/XCL-Charts,327,7.74,3.0,9.806,0,60,0.0,13.0,2.177,1.0,1.554,1,5,1.0,3.0,49.043,4.0,157.798,0,2238,0.0,32.0
BoltsFramework/Bolts-Android,158,3.0,2.0,3.522,0,27,1.0,3.0,1.089,1.0,0.413,1,4,1.0,1.0,19.013,0.0,150.347,0,1425,0.0,0.0
lcodecorex/TwinklingRefreshLayout,151,4.285,2.0,4.778,0,27,1.0,6.0,1.371,1.0,0.659,1,4,1.0,2.0,36.272,0.0,214.685,0,2224,0.0,3.0
knowm/XChange,4930,5.953,4.0,6.448,0,60,2.0,7.0,1.504,1.0,0.916,1,8,1.0,2.0,25.181,0.0,729.437,0,51037,0.0,4.0
Yalantis/Phoenix,24,4.333,2.5,4.824,0,18,1.0,7.0,1.667,1.0,0.963,1,4,1.0,2.0,7.542,0.0,19.167,0,65,0.0,0.75
